จาก \ ไป,N24,N23,N22,N21,N20,N19,N18,N17,N16,N15,N14,N13,N12,N11,N10,N9,N8,N7,N5,N4,N3,N2,N1,CEN,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,W1,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
N14,40,38,36,33,30,27,25,23,20,17,17,17,20,23,25,27,30,47,55,58,62,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
N13,42,40,38,36,33,30,27,25,23,20,17,17,17,20,23,25,27,44,52,55,59,62,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
N12,45,42,40,38,36,33,30,27,25,23,20,17,17,17,20,23,25,42,50,53,57,60,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
N11,45,45,42,40,38,36,33,30,27,25,23,20,17,17,17,20,23,40,48,51,55,58,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
N10,45,45,45,42,40,38,36,33,30,27,25,23,20,17,17,17,20,37,45,48,52,55,60,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
N9,45,45,45,45,42,40,38,36,33,30,27,25,23,20,17,17,17,34,42,45,49,52,57,60,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,64,64,64,64,64,65,65,65,65,65
N8,45,45,45,45,45,42,40,38,36,33,30,27,25,23,20,17,17,17,25,28,32,35,40,43,47,47,47,47,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,47,47,47,47,47,47,47,47,64,65,65,65,65
N7,62,62,62,62,62,59,57,55,53,50,47,44,42,40,37,34,17,17,17,25,28,32,35,40,43,47,47,47,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,43,43,47,47,47,47,47,47,64,65,65,65,65
N5,65,65,65,65,65,65,65,63,61,58,55,52,50,48,45,42,25,17,17,17,25,28,32,35,40,43,47,47,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,40,40,43,47,47,47,47,47,64,65,65,65,65
N4,65,65,65,65,65,65,65,65,64,61,58,55,53,51,48,45,28,25,17,17,17,25,28,32,35,40,43,47,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,35,35,40,43,47,47,47,47,64,65,65,65,65
N3,65,65,65,65,65,65,65,65,65,65,62,59,57,55,52,49,32,28,25,17,17,17,25,28,32,35,40,43,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,32,32,35,40,43,47,47,47,64,65,65,65,65
N2,65,65,65,65,65,65,65,65,65,65,65,62,60,58,55,52,35,32,28,25,17,17,17,25,28,32,35,40,43,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,28,28,32,35,40,43,47,47,64,65,65,65,65
N1,65,65,65,65,65,65,65,65,65,65,65,65,65,63,60,57,40,35,32,28,25,17,17,17,25,28,32,35,40,43,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,25,25,28,32,35,40,43,47,64,65,65,65,65
CEN,65,65,65,65,65,65,65,65,65,65,65,65,65,65,63,60,43,40,35,32,28,25,17,17,17,25,28,32,35,40,43,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,17,17,25,28,32,35,40,43,60,63,65,65,65
E1,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,43,40,35,32,28,25,17,17,17,25,28,32,35,40,43,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,25,25,28,32,35,40,43,47,64,65,65,65,65
E2,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,43,40,35,32,28,25,17,17,17,25,28,32,35,40,43,60,63,65,65,65,65,65,65,65,65,65,65,65,65,28,28,32,35,40,43,47,47,64,65,65,65,65
E3,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,43,40,35,32,28,25,17,17,17,25,28,32,35,40,57,60,63,65,65,65,65,65,65,65,65,65,65,65,32,32,35,40,43,47,47,47,64,65,65,65,65
E4,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,43,40,35,32,28,25,17,17,17,25,28,32,35,52,55,58,60,62,65,65,65,65,65,65,65,65,65,35,35,40,43,47,47,47,47,64,65,65,65,65
E5,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,47,43,40,35,32,28,25,17,17,17,25,28,32,49,52,55,57,59,62,65,65,65,65,65,65,65,65,40,40,43,47,47,47,47,47,64,65,65,65,65
E6,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,47,47,43,40,35,32,28,25,17,17,17,25,28,45,48,51,53,55,58,61,64,65,65,65,65,65,65,43,43,47,47,47,47,47,47,64,65,65,65,65
E7,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,47,47,47,43,40,35,32,28,25,17,17,17,25,42,45,48,50,52,55,58,61,63,65,65,65,65,65,47,47,47,47,47,47,47,47,64,65,65,65,65
E8,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,47,47,47,47,43,40,35,32,28,25,17,17,17,34,37,40,42,44,47,50,53,55,57,59,62,62,62,47,47,47,47,47,47,47,47,64,65,65,65,65
E9,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,47,47,47,47,47,43,40,35,32,28,25,17,17,17,20,23,25,27,30,33,36,38,40,42,45,45,45,47,47,47,47,47,47,47,47,64,65,65,65,65
E10,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,64,64,64,64,64,64,60,57,52,49,45,42,34,17,17,17,20,23,25,27,30,33,36,38,40,42,45,45,64,64,64,64,64,64,64,64,65,65,65,65,65
E11,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,63,60,55,52,48,45,37,20,17,17,17,20,23,25,27,30,33,36,38,40,42,45,65,65,65,65,65,65,65,65,65,65,65,65,65
E12,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,63,58,55,51,48,40,23,20,17,17,17,20,23,25,27,30,33,36,38,40,42,65,65,65,65,65,65,65,65,65,65,65,65,65
E13,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,60,57,53,50,42,25,23,20,17,17,17,20,23,25,27,30,33,36,38,40,65,65,65,65,65,65,65,65,65,65,65,65,65
E14,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,62,59,55,52,44,27,25,23,20,17,17,17,20,23,25,27,30,33,36,38,65,65,65,65,65,65,65,65,65,65,65,65,65
E15,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,62,58,55,47,30,27,25,23,20,17,17,17,20,23,25,27,30,33,36,65,65,65,65,65,65,65,65,65,65,65,65,65
E16,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,61,58,50,33,30,27,25,23,20,17,17,17,20,23,25,27,30,33,65,65,65,65,65,65,65,65,65,65,65,65,65
E17,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,61,53,36,33,30,27,25,23,20,17,17,17,20,23,25,27,30,65,65,65,65,65,65,65,65,65,65,65,65,65
E18,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,63,55,38,36,33,30,27,25,23,20,17,17,17,20,23,25,27,65,65,65,65,65,65,65,65,65,65,65,65,65
E19,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,57,40,38,36,33,30,27,25,23,20,17,17,17,20,23,25,65,65,65,65,65,65,65,65,65,65,65,65,65
E20,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,59,42,40,38,36,33,30,27,25,23,20,17,17,17,20,23,65,65,65,65,65,65,65,65,65,65,65,65,65
E21,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,62,45,42,40,38,36,33,30,27,25,23,20,17,17,17,20,65,65,65,65,65,65,65,65,65,65,65,65,65
E22,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,62,45,45,42,40,38,36,33,30,27,25,23,20,17,17,17,65,65,65,65,65,65,65,65,65,65,65,65,65
E23,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,62,45,45,45,42,40,38,36,33,30,27,25,23,20,17,17,65,65,65,65,65,65,65,65,65,65,65,65,65
W1,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,43,40,35,32,28,25,17,25,28,32,35,40,43,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,17,25,28,32,35,40,43,47,64,65,65,65,65
S1,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,43,40,35,32,28,25,17,25,28,32,35,40,43,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,25,17,17,25,28,32,35,40,57,60,63,65,65
S2,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,43,40,35,32,28,25,28,32,35,40,43,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,28,17,17,17,25,28,32,35,52,55,58,60,62
S3,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,43,40,35,32,28,32,35,40,43,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,32,25,17,17,17,25,28,32,49,52,55,57,59
S4,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,43,40,35,32,35,40,43,47,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,35,28,25,17,17,17,25,28,45,48,51,53,55
S5,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,47,43,40,35,40,43,47,47,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,40,32,28,25,17,17,17,25,42,45,48,50,52
S6,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,47,47,43,40,43,47,47,47,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,43,35,32,28,25,17,17,17,34,37,40,42,44
S7,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,47,47,47,47,47,47,47,43,47,47,47,47,47,47,47,47,47,64,65,65,65,65,65,65,65,65,65,65,65,65,65,47,40,35,32,28,25,17,17,17,20,23,25,27
S8,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,64,64,64,64,64,64,60,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,57,52,49,45,42,34,17,17,17,20,23,25
S9,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,60,55,52,48,45,37,20,17,17,17,20,23
S10,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,63,58,55,51,48,40,23,20,17,17,17,20
S11,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,60,57,53,50,42,25,23,20,17,17,17
S12,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,62,59,55,52,44,27,25,23,20,17,17
